"sj" "cb" "blockNumber" "blockType" "trialNum" "congruency" "posture" "wordStim" "inkColour" "rt" "cResp" "resp" "ac"
"1_1_1" 1 4 "experimental" 22 "neutral" "STANDING" "XXX" "green" 631 2 2 1
"1_1_1" 1 4 "experimental" 23 "incongruent" "STANDING" "GREEN" "red" 342 1 1 1
"1_1_1" 1 4 "experimental" 24 "congruent" "STANDING" "GREEN" "green" 480 2 2 1
"1_1_1" 1 4 "experimental" 25 "congruent" "STANDING" "RED" "red" 565 1 1 1
"1_1_1" 1 4 "experimental" 26 "congruent" "STANDING" "GREEN" "green" 479 2 2 1
"1_1_1" 1 4 "experimental" 27 "neutral" "STANDING" "XXX" "red" 356 1 1 1
"1_1_1" 1 4 "experimental" 28 "incongruent" "STANDING" "RED" "green" 454 2 2 1
"1_1_1" 1 4 "experimental" 29 "neutral" "STANDING" "XXXXX" "green" 568 2 2 1
"1_1_1" 1 4 "experimental" 30 "incongruent" "STANDING" "GREEN" "red" 470 1 1 1
"1_1_1" 1 4 "experimental" 31 "incongruent" "STANDING" "RED" "green" 444 2 2 1
"1_1_1" 1 4 "experimental" 32 "congruent" "STANDING" "RED" "red" 370 1 1 1
"1_1_1" 1 4 "experimental" 33 "neutral" "STANDING" "XXXXX" "red" 404 1 1 1
"1_1_1" 1 4 "experimental" 34 "neutral" "STANDING" "XXX" "green" 405 2 2 1
"1_1_1" 1 4 "experimental" 35 "incongruent" "STANDING" "GREEN" "red" 366 1 1 1
"1_1_1" 1 4 "experimental" 36 "congruent" "STANDING" "GREEN" "green" 344 2 2 1
"1_1_1" 1 5 "experimental" 1 "congruent" "STANDING" "RED" "red" 322 1 1 1
"1_1_1" 1 5 "experimental" 2 "congruent" "STANDING" "GREEN" "green" 310 2 2 1
"1_1_1" 1 5 "experimental" 3 "neutral" "STANDING" "XXX" "red" 450 1 1 1
"1_1_1" 1 5 "experimental" 4 "neutral" "STANDING" "XXXXX" "red" 353 1 1 1
"1_1_1" 1 5 "experimental" 5 "incongruent" "STANDING" "RED" "green" 556 2 2 1
"1_1_1" 1 5 "experimental" 6 "congruent" "STANDING" "GREEN" "green" 406 2 2 1
"1_1_1" 1 5 "experimental" 7 "incongruent" "STANDING" "GREEN" "red" 350 1 1 1
"1_1_1" 1 5 "experimental" 8 "incongruent" "STANDING" "RED" "green" 392 2 2 1
"1_1_1" 1 5 "experimental" 9 "neutral" "STANDING" "XXX" "green" 369 2 2 1
"1_1_1" 1 5 "experimental" 10 "congruent" "STANDING" "RED" "red" 587 1 1 1
"1_1_1" 1 5 "experimental" 11 "incongruent" "STANDING" "GREEN" "red" 484 2 1 0
"1_1_1" 1 5 "experimental" 12 "neutral" "STANDING" "XXXXX" "green" 648 2 2 1
"1_1_1" 1 5 "experimental" 13 "incongruent" "STANDING" "RED" "green" 790 2 2 1
"1_1_1" 1 5 "experimental" 14 "neutral" "STANDING" "XXX" "red" 454 1 1 1
"1_1_1" 1 5 "experimental" 15 "congruent" "STANDING" "GREEN" "green" 981 2 2 1
"1_1_1" 1 5 "experimental" 16 "congruent" "STANDING" "GREEN" "green" 357 2 2 1
"1_1_1" 1 5 "experimental" 17 "congruent" "STANDING" "RED" "red" 415 1 1 1
"1_1_1" 1 5 "experimental" 18 "incongruent" "STANDING" "GREEN" "red" 423 1 1 1
"1_1_1" 1 5 "experimental" 19 "congruent" "STANDING" "RED" "red" 374 1 1 1
"1_1_1" 1 5 "experimental" 20 "neutral" "STANDING" "XXX" "green" 311 2 2 1
"1_1_1" 1 5 "experimental" 21 "incongruent" "STANDING" "RED" "green" 411 2 2 1
"1_1_1" 1 5 "experimental" 22 "neutral" "STANDING" "XXXXX" "red" 427 1 1 1
"1_1_1" 1 5 "experimental" 23 "neutral" "STANDING" "XXXXX" "green" 474 2 2 1
"1_1_1" 1 5 "experimental" 24 "incongruent" "STANDING" "GREEN" "red" 463 1 1 1
"1_1_1" 1 5 "experimental" 25 "neutral" "STANDING" "XXXXX" "red" 397 1 1 1
"1_1_1" 1 5 "experimental" 26 "neutral" "STANDING" "XXXXX" "green" 478 2 2 1
"1_1_1" 1 5 "experimental" 27 "incongruent" "STANDING" "RED" "green" 467 1 2 0
"1_1_1" 1 5 "experimental" 28 "incongruent" "STANDING" "GREEN" "red" 464 1 1 1
"1_1_1" 1 5 "experimental" 29 "incongruent" "STANDING" "RED" "green" 462 2 2 1
"1_1_1" 1 5 "experimental" 30 "neutral" "STANDING" "XXX" "red" 411 1 1 1
"1_1_1" 1 5 "experimental" 31 "neutral" "STANDING" "XXX" "green" 387 2 2 1
"1_1_1" 1 5 "experimental" 32 "congruent" "STANDING" "GREEN" "green" 621 2 2 1
"1_1_1" 1 5 "experimental" 33 "congruent" "STANDING" "GREEN" "green" 356 2 2 1
"1_1_1" 1 5 "experimental" 34 "congruent" "STANDING" "RED" "red" 391 1 1 1
"1_1_1" 1 5 "experimental" 35 "incongruent" "STANDING" "GREEN" "red" 479 1 1 1
"1_1_1" 1 5 "experimental" 36 "congruent" "STANDING" "RED" "red" 308 1 1 1
"1_1_1" 1 7 "experimental" 1 "congruent" "SITTING" "RED" "red" 728 1 1 1
"1_1_1" 1 7 "experimental" 2 "incongruent" "SITTING" "RED" "green" 355 2 2 1
"1_1_1" 1 7 "experimental" 3 "congruent" "SITTING" "GREEN" "green" 637 2 2 1
"1_1_1" 1 7 "experimental" 4 "neutral" "SITTING" "XXXXX" "green" 429 2 2 1
"1_1_1" 1 7 "experimental" 5 "incongruent" "SITTING" "GREEN" "red" 347 1 1 1
"1_1_1" 1 7 "experimental" 6 "incongruent" "SITTING" "RED" "green" 390 2 2 1
"1_1_1" 1 7 "experimental" 7 "incongruent" "SITTING" "GREEN" "red" 438 1 1 1
"1_1_1" 1 7 "experimental" 8 "congruent" "SITTING" "GREEN" "green" 502 2 2 1
"1_1_1" 1 7 "experimental" 9 "neutral" "SITTING" "XXX" "green" 313 2 2 1
"1_1_1" 1 7 "experimental" 10 "congruent" "SITTING" "RED" "red" 525 1 1 1
"1_1_1" 1 7 "experimental" 11 "neutral" "SITTING" "XXX" "red" 440 2 1 0
"1_1_1" 1 7 "experimental" 12 "neutral" "SITTING" "XXXXX" "red" 422 1 1 1
"1_1_1" 1 7 "experimental" 13 "incongruent" "SITTING" "RED" "green" 574 2 2 1
"1_1_1" 1 7 "experimental" 14 "congruent" "SITTING" "GREEN" "green" 415 2 2 1
"1_1_1" 1 7 "experimental" 15 "neutral" "SITTING" "XXX" "green" 398 2 2 1
"1_1_1" 1 7 "experimental" 16 "neutral" "SITTING" "XXXXX" "red" 471 1 1 1
"1_1_1" 1 7 "experimental" 17 "congruent" "SITTING" "RED" "red" 669 1 1 1
"1_1_1" 1 7 "experimental" 18 "incongruent" "SITTING" "GREEN" "red" 458 1 1 1
"1_1_1" 1 7 "experimental" 19 "incongruent" "SITTING" "RED" "green" 448 2 2 1
"1_1_1" 1 7 "experimental" 20 "congruent" "SITTING" "RED" "red" 414 1 1 1
"1_1_1" 1 7 "experimental" 21 "neutral" "SITTING" "XXX" "red" 438 1 1 1
"1_1_1" 1 7 "experimental" 22 "incongruent" "SITTING" "GREEN" "red" 349 1 1 1
"1_1_1" 1 7 "experimental" 23 "congruent" "SITTING" "GREEN" "green" 431 2 2 1
"1_1_1" 1 7 "experimental" 24 "neutral" "SITTING" "XXXXX" "green" 431 2 2 1
"1_1_1" 1 7 "experimental" 25 "incongruent" "SITTING" "RED" "green" 366 2 2 1
"1_1_1" 1 7 "experimental" 26 "incongruent" "SITTING" "GREEN" "red" 312 1 1 1
"1_1_1" 1 7 "experimental" 27 "congruent" "SITTING" "RED" "red" 389 1 1 1
"1_1_1" 1 7 "experimental" 28 "neutral" "SITTING" "XXXXX" "red" 660 1 1 1
"1_1_1" 1 7 "experimental" 29 "neutral" "SITTING" "XXXXX" "green" 674 2 2 1
"1_1_1" 1 7 "experimental" 30 "congruent" "SITTING" "GREEN" "green" 327 2 2 1
"1_1_1" 1 7 "experimental" 31 "incongruent" "SITTING" "RED" "green" 395 2 2 1
"1_1_1" 1 7 "experimental" 32 "congruent" "SITTING" "GREEN" "green" 434 2 2 1
"1_1_1" 1 7 "experimental" 33 "congruent" "SITTING" "RED" "red" 514 1 1 1
"1_1_1" 1 7 "experimental" 34 "incongruent" "SITTING" "GREEN" "red" 510 1 1 1
"1_1_1" 1 7 "experimental" 35 "neutral" "SITTING" "XXX" "red" 378 1 1 1
"1_1_1" 1 7 "experimental" 36 "neutral" "SITTING" "XXX" "green" 435 2 2 1
"1_1_1" 1 8 "experimental" 1 "congruent" "SITTING" "GREEN" "green" 402 2 2 1
"1_1_1" 1 8 "experimental" 2 "incongruent" "SITTING" "RED" "green" 339 2 2 1
"1_1_1" 1 8 "experimental" 3 "neutral" "SITTING" "XXXXX" "green" 414 2 2 1
"1_1_1" 1 8 "experimental" 4 "neutral" "SITTING" "XXX" "green" 333 2 2 1
"1_1_1" 1 8 "experimental" 5 "neutral" "SITTING" "XXX" "red" 305 1 1 1
"1_1_1" 1 8 "experimental" 6 "neutral" "SITTING" "XXXXX" "red" 278 1 1 1
"1_1_1" 1 8 "experimental" 7 "incongruent" "SITTING" "GREEN" "red" 275 1 1 1
"1_1_1" 1 8 "experimental" 8 "incongruent" "SITTING" "RED" "green" 568 2 2 1
"1_1_1" 1 8 "experimental" 9 "congruent" "SITTING" "RED" "red" 402 1 1 1
"1_1_1" 1 8 "experimental" 10 "congruent" "SITTING" "GREEN" "green" 443 2 2 1
"1_1_1" 1 8 "experimental" 11 "congruent" "SITTING" "RED" "red" 489 1 1 1
"1_1_1" 1 8 "experimental" 12 "incongruent" "SITTING" "GREEN" "red" 374 1 1 1
"1_1_1" 1 8 "experimental" 13 "congruent" "SITTING" "GREEN" "green" 439 2 2 1
"1_1_1" 1 8 "experimental" 14 "neutral" "SITTING" "XXXXX" "green" 357 2 2 1
"1_1_1" 1 8 "experimental" 15 "congruent" "SITTING" "RED" "red" 487 1 1 1
"1_1_1" 1 8 "experimental" 16 "neutral" "SITTING" "XXXXX" "red" 396 1 1 1
"1_1_1" 1 8 "experimental" 17 "congruent" "SITTING" "GREEN" "green" 485 2 2 1
"1_1_1" 1 8 "experimental" 18 "incongruent" "SITTING" "RED" "green" 346 2 2 1
"1_1_1" 1 8 "experimental" 19 "incongruent" "SITTING" "GREEN" "red" 317 1 1 1
"1_1_1" 1 8 "experimental" 20 "neutral" "SITTING" "XXX" "red" 384 1 1 1
"1_1_1" 1 8 "experimental" 21 "incongruent" "SITTING" "RED" "green" 354 2 2 1
"1_1_1" 1 8 "experimental" 22 "neutral" "SITTING" "XXX" "green" 357 2 2 1
"1_1_1" 1 8 "experimental" 23 "congruent" "SITTING" "RED" "red" 495 1 1 1
"1_1_1" 1 8 "experimental" 24 "incongruent" "SITTING" "GREEN" "red" 299 1 1 1
"1_1_1" 1 8 "experimental" 25 "neutral" "SITTING" "XXX" "red" 304 2 1 0
"1_1_1" 1 8 "experimental" 26 "neutral" "SITTING" "XXXXX" "green" 340 2 2 1
"1_1_1" 1 8 "experimental" 27 "congruent" "SITTING" "GREEN" "green" 279 2 2 1
"1_1_1" 1 8 "experimental" 28 "congruent" "SITTING" "GREEN" "green" 356 2 2 1
"1_1_1" 1 8 "experimental" 29 "congruent" "SITTING" "RED" "red" 422 1 1 1
"1_1_1" 1 8 "experimental" 30 "incongruent" "SITTING" "RED" "green" 421 2 2 1
"1_1_1" 1 8 "experimental" 31 "neutral" "SITTING" "XXX" "green" 509 2 2 1
"1_1_1" 1 8 "experimental" 32 "congruent" "SITTING" "RED" "red" 409 1 1 1
"1_1_1" 1 8 "experimental" 33 "incongruent" "SITTING" "GREEN" "red" 417 1 1 1
"1_1_1" 1 8 "experimental" 34 "neutral" "SITTING" "XXXXX" "red" 385 1 1 1
"1_1_1" 1 8 "experimental" 35 "incongruent" "SITTING" "RED" "green" 426 2 2 1
"1_1_1" 1 8 "experimental" 36 "incongruent" "SITTING" "GREEN" "red" 401 1 1 1
"1_1_1" 1 9 "experimental" 1 "congruent" "SITTING" "GREEN" "green" 490 2 2 1
"1_1_1" 1 9 "experimental" 2 "neutral" "SITTING" "XXX" "green" 430 2 2 1
"1_1_1" 1 9 "experimental" 3 "congruent" "SITTING" "RED" "red" 413 1 1 1
"1_1_1" 1 9 "experimental" 4 "congruent" "SITTING" "RED" "red" 405 1 1 1
"1_1_1" 1 9 "experimental" 5 "congruent" "SITTING" "GREEN" "green" 661 2 2 1
"1_1_1" 1 9 "experimental" 6 "neutral" "SITTING" "XXXXX" "green" 610 2 2 1
"1_1_1" 1 9 "experimental" 7 "neutral" "SITTING" "XXXXX" "red" 466 1 1 1
"1_1_1" 1 9 "experimental" 8 "incongruent" "SITTING" "RED" "green" 502 2 2 1
"1_1_1" 1 9 "experimental" 9 "incongruent" "SITTING" "GREEN" "red" 404 1 1 1
"1_1_1" 1 9 "experimental" 10 "incongruent" "SITTING" "RED" "green" 533 2 2 1
"1_1_1" 1 9 "experimental" 11 "incongruent" "SITTING" "GREEN" "red" 376 1 1 1
"1_1_1" 1 9 "experimental" 12 "neutral" "SITTING" "XXX" "red" 449 1 1 1
"1_1_1" 1 9 "experimental" 13 "neutral" "SITTING" "XXX" "green" 567 2 2 1
"1_1_1" 1 9 "experimental" 14 "neutral" "SITTING" "XXXXX" "green" 617 2 2 1
"1_1_1" 1 9 "experimental" 15 "neutral" "SITTING" "XXX" "red" 416 1 1 1
"1_1_1" 1 9 "experimental" 16 "congruent" "SITTING" "RED" "red" 400 1 1 1
"1_1_1" 1 9 "experimental" 17 "congruent" "SITTING" "GREEN" "green" 497 2 2 1
"1_1_1" 1 9 "experimental" 18 "congruent" "SITTING" "RED" "red" 461 1 1 1
"1_1_1" 1 9 "experimental" 19 "incongruent" "SITTING" "RED" "green" 579 2 2 1
"1_1_1" 1 9 "experimental" 20 "incongruent" "SITTING" "GREEN" "red" 420 1 1 1
"1_1_1" 1 9 "experimental" 21 "neutral" "SITTING" "XXXXX" "red" 596 1 1 1
"1_1_1" 1 9 "experimental" 22 "congruent" "SITTING" "GREEN" "green" 444 2 2 1
"1_1_1" 1 9 "experimental" 23 "incongruent" "SITTING" "RED" "green" 619 2 2 1
"1_1_1" 1 9 "experimental" 24 "incongruent" "SITTING" "GREEN" "red" 346 1 1 1
"1_1_1" 1 9 "experimental" 25 "congruent" "SITTING" "RED" "red" 557 1 1 1
"1_1_1" 1 9 "experimental" 26 "neutral" "SITTING" "XXXXX" "green" 414 2 2 1
"1_1_1" 1 9 "experimental" 27 "neutral" "SITTING" "XXXXX" "red" 502 1 1 1
"1_1_1" 1 9 "experimental" 28 "incongruent" "SITTING" "RED" "green" 747 2 2 1
"1_1_1" 1 9 "experimental" 29 "neutral" "SITTING" "XXX" "red" 469 1 1 1
