"sj" "cb" "blockNumber" "blockType" "trialNum" "target" "targetImage" "distractor" "distractorImage" "posture" "setSize" "rt" "resp" "cresp" "ac"
1 1 2 "experimental" 100 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 563 "h" "h" 1
1 1 2 "experimental" 101 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 582 "h" "h" 1
1 1 2 "experimental" 102 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 691 "h" "h" 1
1 1 2 "experimental" 103 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 520 "s" "s" 1
1 1 2 "experimental" 104 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 739 "s" "s" 1
1 1 2 "experimental" 105 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 562 "h" "h" 1
1 1 2 "experimental" 106 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 572 "h" "h" 1
1 1 2 "experimental" 107 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 663 "h" "h" 1
1 1 2 "experimental" 108 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 596 "s" "s" 1
1 1 2 "experimental" 109 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 587 "s" "s" 1
1 1 2 "experimental" 110 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 716 "h" "h" 1
1 1 2 "experimental" 111 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 609 "s" "s" 1
1 1 2 "experimental" 112 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 562 "s" "s" 1
1 1 2 "experimental" 113 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 633 "h" "h" 1
1 1 2 "experimental" 114 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 680 "s" "s" 1
1 1 2 "experimental" 115 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 570 "h" "h" 1
1 1 2 "experimental" 116 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 518 "s" "s" 1
1 1 2 "experimental" 117 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 456 "h" "h" 1
1 1 2 "experimental" 118 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 644 "s" "s" 1
1 1 2 "experimental" 119 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 754 "h" "h" 1
1 1 2 "experimental" 120 "s" "s.bmp" "u" "u.bmp" "SITTING" 8 561 "s" "s" 1
1 1 2 "experimental" 121 "s" "s.bmp" "u" "u.bmp" "SITTING" 4 658 "s" "s" 1
1 1 2 "experimental" 122 "h" "h.bmp" "u" "u.bmp" "SITTING" 8 540 "h" "h" 1
1 1 2 "experimental" 123 "h" "h.bmp" "e" "e.bmp" "SITTING" 8 612 "h" "h" 1
1 1 2 "experimental" 124 "h" "h.bmp" "u" "u.bmp" "SITTING" 4 549 "h" "h" 1
1 1 2 "experimental" 125 "s" "s.bmp" "e" "e.bmp" "SITTING" 8 529 "s" "s" 1
1 1 2 "experimental" 126 "h" "h.bmp" "e" "e.bmp" "SITTING" 4 522 "h" "h" 1
1 1 2 "experimental" 127 "s" "s.bmp" "e" "e.bmp" "SITTING" 4 553 "s" "s" 1
